Date	Phase	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr	g	gErr	r	rErr	i	iErr	Telescope
2018-03-04.8    +19.1    INDEF   INDEF    15.708  0.068     15.127  0.068     15.025  0.025     15.180  0.031     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-03-05.2    +19.5    INDEF   INDEF    15.739  0.026     15.137  0.043     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.185  0.023     15.764  0.039     DEMONEXT  
2018-03-05.2    +19.5    INDEF   INDEF    15.782  0.033     15.216  0.023     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.244  0.010     15.850  0.020     PONM  
2018-03-05.2    +19.5    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.265  0.012     15.232  0.020     INDEF   INDEF    Gemini  
2018-03-05.5    +19.8    INDEF   INDEF    15.767  0.032     15.196  0.011     INDEF   INDEF    INDEF   INDEF    15.286  0.005     15.219  0.007     15.768  0.011     TNT  
2018-03-05.9    +20.2    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.244  0.007     15.817  0.012     LCO  
2018-03-06.2    +20.5    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.356  0.020     15.249  0.022     INDEF   INDEF    Gemini  
2018-03-06.2    +20.5    INDEF   INDEF    INDEF   INDEF    15.156  0.008     15.108  0.009     15.226  0.013     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-06.4    +20.7    INDEF   INDEF    15.859  0.040     15.180  0.039     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.150  0.017     15.726  0.031     DEMONEXT  
2018-03-07.2    +21.5    INDEF   INDEF    15.945  0.032     15.233  0.041     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.200  0.015     15.736  0.031     DEMONEXT  
2018-03-07.2    +21.5    INDEF   INDEF    15.970  0.029     15.287  0.033     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.255  0.012     15.749  0.017     PONM  
2018-03-07.2    +21.5    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.437  0.012     15.253  0.019     INDEF   INDEF    Gemini  
2018-03-07.2    +21.5    INDEF   INDEF    INDEF   INDEF    15.200  0.006     15.122  0.007     15.253  0.008     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-03-07.8    +22.1    INDEF   INDEF    15.915  0.069     15.236  0.041     14.967  0.075     15.106  0.059     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-03-08.1    +22.4    INDEF   INDEF    15.984  0.014     15.228  0.010     INDEF   INDEF    INDEF   INDEF    15.577  0.010     15.184  0.009     15.761  0.010     Swope  
2018-03-08.5    +22.8    INDEF   INDEF    16.113  0.032     15.350  0.011     INDEF   INDEF    INDEF   INDEF    15.566  0.004     15.270  0.005     15.780  0.007     TNT  
2018-03-08.8    +23.1    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.289  0.007     15.753  0.010     LCO  
2018-03-08.9    +23.2    16.398  0.032     16.143  0.019     15.361  0.015     INDEF   INDEF    INDEF   INDEF    15.637  0.005     15.275  0.006     15.725  0.019     LCO  
